Incident_ID,Opened_At,Closed_At,Opened_By,Assigned_To,Priority,Impact,Urgency,Category,Subcategory,Status,Resolution_Code,Resolved_By,Short_Description,Description,Updated_At
INC000019,2025-07-01 18:00:00,,user27,user297,Critical,High,Medium,Hardware,Printer,In Progress,,,Issue 19 - Hardware related,"Detailed description of incident 19, auto-generated for testing.",2025-07-02 17:00:00
INC000020,2025-07-01 19:00:00,,user132,user218,Low,Low,Medium,Security,Access,Open,,,Issue 20 - Network related,"Detailed description of incident 20, auto-generated for testing.",2025-07-05 13:00:00
INC000021,2025-07-01 20:00:00,2025-07-02 22:00:00,user18,user387,Critical,Medium,Medium,Security,Phishing,Resolved,Not Reproducible,user457,Issue 21 - Software related,"Detailed description of incident 21, auto-generated for testing.",2025-07-01 22:00:00
INC000022,2025-07-01 21:00:00,,user184,user213,Critical,High,High,Software,Email,Open,,,Issue 22 - Network related,"Detailed description of incident 22, auto-generated for testing.",2025-07-04 06:00:00
INC000023,2025-07-01 22:00:00,,user102,user300,Critical,Low,Medium,Software,Application,Open,,,Issue 23 - Security related,"Detailed description of incident 23, auto-generated for testing.",2025-07-02 19:00:00
INC000024,2025-07-01 23:00:00,,user113,user285,Critical,Medium,Medium,Hardware,Printer,In Progress,,,Issue 24 - Network related,"Detailed description of incident 24, auto-generated for testing.",2025-07-04 12:00:00
INC000025,2025-07-02 00:00:00,,user122,user308,Low,Medium,Low,Database,SQL Server,In Progress,,,Issue 25 - Security related,"Detailed description of incident 25, auto-generated for testing.",2025-07-02 10:00:00
INC000026,2025-07-02 01:00:00,2025-07-04 11:00:00,user130,user318,Critical,High,High,Software,Application,Resolved,Workaround Provided,user402,Issue 26 - Software related,"Detailed description of incident 26, auto-generated for testing.",2025-07-02 21:00:00
INC000027,2025-07-02 02:00:00,,user74,user262,High,High,Low,Hardware,Laptop,Open,,,Issue 27 - Software related,"Detailed description of incident 27, auto-generated for testing.",2025-07-04 05:00:00
INC000028,2025-07-02 03:00:00,,user132,user260,Low,High,Medium,Network,LAN,In Progress,,,Issue 28 - Database related,"Detailed description of incident 28, auto-generated for testing.",2025-07-03 04:00:00
INC000029,2025-07-02 04:00:00,,user18,user316,Critical,Low,High,Security,Malware,In Progress,,,Issue 29 - Database related,"Detailed description of incident 29, auto-generated for testing.",2025-07-03 07:00:00
INC000030,2025-07-02 05:00:00,,user109,user394,Low,High,Medium,Database,MySQL,Open,,,Issue 30 - Security related,"Detailed description of incident 30, auto-generated for testing.",2025-07-03 21:00:00
INC000031,2025-07-02 06:00:00,2025-07-03 03:00:00,user89,user270,Low,High,Medium,Hardware,Desktop,Resolved,Not Reproducible,user488,Issue 31 - Security related,"Detailed description of incident 31, auto-generated for testing.",2025-07-02 11:00:00
INC000032,2025-07-02 07:00:00,,user45,user296,Low,High,High,Network,WAN,Open,,,Issue 32 - Network related,"Detailed description of incident 32, auto-generated for testing.",2025-07-06 00:00:00
INC000033,2025-07-02 08:00:00,,user72,user314,Low,Medium,Low,Security,Phishing,Open,,,Issue 33 - Security related,"Detailed description of incident 33, auto-generated for testing.",2025-07-05 21:00:00
INC000034,2025-07-02 09:00:00,2025-07-03 21:00:00,user66,user212,Critical,High,High,Network,WAN,Closed,Solved via On-Site,user456,Issue 34 - Database related,"Detailed description of incident 34, auto-generated for testing.",2025-07-03 09:00:00
INC000035,2025-07-02 10:00:00,2025-07-04 06:00:00,user66,user222,Low,High,High,Hardware,Desktop,Closed,Solved Remotely,user424,Issue 35 - Database related,"Detailed description of incident 35, auto-generated for testing.",2025-07-05 23:00:00
INC000036,2025-07-02 11:00:00,2025-07-04 12:00:00,user172,user303,High,Low,Low,Software,OS,Closed,Solved Remotely,user492,Issue 36 - Database related,"Detailed description of incident 36, auto-generated for testing.",2025-07-05 19:00:00
INC000037,2025-07-02 12:00:00,,user93,user282,Low,Low,High,Security,Access,In Progress,,,Issue 37 - Network related,"Detailed description of incident 37, auto-generated for testing.",2025-07-03 16:00:00
INC000038,2025-07-02 13:00:00,,user67,user237,Low,High,Low,Network,LAN,Open,,,Issue 38 - Software related,"Detailed description of incident 38, auto-generated for testing.",2025-07-05 04:00:00
INC000039,2025-07-02 14:00:00,2025-07-04 11:00:00,user68,user314,High,Low,Low,Software,OS,Resolved,Workaround Provided,user412,Issue 39 - Security related,"Detailed description of incident 39, auto-generated for testing.",2025-07-05 10:00:00
INC000040,2025-07-02 15:00:00,,user110,user307,Critical,Low,High,Database,MySQL,In Progress,,,Issue 40 - Database related,"Detailed description of incident 40, auto-generated for testing.",2025-07-03 05:00:00
INC000041,2025-07-02 16:00:00,,user14,user224,High,Low,High,Hardware,Printer,Open,,,Issue 41 - Hardware related,"Detailed description of incident 41, auto-generated for testing.",2025-07-06 14:00:00
INC000042,2025-07-02 17:00:00,,user137,user258,Medium,Medium,Low,Hardware,Laptop,In Progress,,,Issue 42 - Software related,"Detailed description of incident 42, auto-generated for testing.",2025-07-04 01:00:00
INC000043,2025-07-02 18:00:00,,user54,user308,High,High,Low,Security,Malware,Open,,,Issue 43 - Security related,"Detailed description of incident 43, auto-generated for testing.",2025-07-03 14:00:00
INC000044,2025-07-02 19:00:00,2025-07-05 06:00:00,user137,user370,Critical,High,Low,Network,LAN,Closed,Solved Remotely,user497,Issue 44 - Software related,"Detailed description of incident 44, auto-generated for testing.",2025-07-05 00:00:00
INC000045,2025-07-02 20:00:00,,user93,user344,High,High,Low,Database,MySQL,Open,,,Issue 45 - Security related,"Detailed description of incident 45, auto-generated for testing.",2025-07-05 09:00:00
INC000046,2025-07-02 21:00:00,2025-07-03 08:00:00,user177,user218,Low,Low,Low,Security,Phishing,Resolved,Workaround Provided,user561,Issue 46 - Hardware related,"Detailed description of incident 46, auto-generated for testing.",2025-07-03 18:00:00
INC000047,2025-07-02 22:00:00,,user17,user277,Critical,Low,High,Security,Phishing,In Progress,,,Issue 47 - Database related,"Detailed description of incident 47, auto-generated for testing.",2025-07-05 08:00:00
INC000048,2025-07-02 23:00:00,,user122,user351,Medium,Low,Medium,Network,LAN,In Progress,,,Issue 48 - Network related,"Detailed description of incident 48, auto-generated for testing.",2025-07-04 07:00:00
INC000049,2025-07-03 00:00:00,,user155,user342,Critical,Medium,High,Database,MySQL,In Progress,,,Issue 49 - Database related,"Detailed description of incident 49, auto-generated for testing.",2025-07-04 08:00:00
INC000050,2025-07-03 01:00:00,,user159,user215,Low,Low,Medium,Network,VPN,Open,,,Issue 50 - Hardware related,"Detailed description of incident 50, auto-generated for testing.",2025-07-03 21:00:00
INC000051,2025-07-03 02:00:00,2025-07-05 01:00:00,user56,user236,Medium,Medium,Low,Hardware,Printer,Closed,Solved via On-Site,user581,Issue 51 - Database related,"Detailed description of incident 51, auto-generated for testing.",2025-07-05 07:00:00
INC000052,2025-07-03 03:00:00,2025-07-03 12:00:00,user116,user292,Critical,High,High,Software,OS,Resolved,Solved Remotely,user570,Issue 52 - Security related,"Detailed description of incident 52, auto-generated for testing.",2025-07-03 20:00:00
INC000053,2025-07-03 04:00:00,2025-07-04 10:00:00,user181,user257,Critical,Low,Medium,Hardware,Laptop,Closed,Workaround Provided,user421,Issue 53 - Software related,"Detailed description of incident 53, auto-generated for testing.",2025-07-05 14:00:00
INC000054,2025-07-03 05:00:00,2025-07-04 11:00:00,user142,user363,Low,Medium,Low,Hardware,Printer,Closed,Solved Remotely,user498,Issue 54 - Network related,"Detailed description of incident 54, auto-generated for testing.",2025-07-05 15:00:00
INC000055,2025-07-03 06:00:00,,user28,user206,High,Medium,High,Security,Malware,In Progress,,,Issue 55 - Network related,"Detailed description of incident 55, auto-generated for testing.",2025-07-07 03:00:00
INC000056,2025-07-03 07:00:00,2025-07-04 19:00:00,user4,user332,High,Low,Medium,Hardware,Laptop,Closed,Not Reproducible,user563,Issue 56 - Network related,"Detailed description of incident 56, auto-generated for testing.",2025-07-05 14:00:00
INC000057,2025-07-03 08:00:00,,user165,user272,Medium,Medium,High,Database,SQL Server,Open,,,Issue 57 - Software related,"Detailed description of incident 57, auto-generated for testing.",2025-07-05 17:00:00
INC000058,2025-07-03 09:00:00,,user176,user250,Low,Low,Medium,Hardware,Printer,Open,,,Issue 58 - Database related,"Detailed description of incident 58, auto-generated for testing.",2025-07-04 23:00:00
INC000059,2025-07-03 10:00:00,,user167,user323,Low,Medium,High,Database,SQL Server,Open,,,Issue 59 - Network related,"Detailed description of incident 59, auto-generated for testing.",2025-07-05 18:00:00
INC000060,2025-07-03 11:00:00,,user194,user386,High,High,High,Network,WAN,In Progress,,,Issue 60 - Security related,"Detailed description of incident 60, auto-generated for testing.",2025-07-06 18:00:00
INC000061,2025-07-03 12:00:00,,user186,user303,High,High,Medium,Security,Malware,In Progress,,,Issue 61 - Network related,"Detailed description of incident 61, auto-generated for testing.",2025-07-05 07:00:00
INC000062,2025-07-03 13:00:00,,user172,user358,Medium,High,High,Database,Oracle,Open,,,Issue 62 - Database related,"Detailed description of incident 62, auto-generated for testing.",2025-07-06 06:00:00
INC000063,2025-07-03 14:00:00,2025-07-05 13:00:00,user83,user358,High,Low,High,Hardware,Desktop,Closed,Solved via On-Site,user495,Issue 63 - Network related,"Detailed description of incident 63, auto-generated for testing.",2025-07-06 08:00:00
INC000064,2025-07-03 15:00:00,,user62,user242,Medium,High,Low,Security,Phishing,In Progress,,,Issue 64 - Software related,"Detailed description of incident 64, auto-generated for testing.",2025-07-04 07:00:00
INC000065,2025-07-03 16:00:00,,user165,user364,Critical,High,Medium,Security,Malware,Open,,,Issue 65 - Database related,"Detailed description of incident 65, auto-generated for testing.",2025-07-06 19:00:00
INC000066,2025-07-03 17:00:00,,user153,user357,Medium,High,High,Database,SQL Server,In Progress,,,Issue 66 - Security related,"Detailed description of incident 66, auto-generated for testing.",2025-07-07 03:00:00
INC000067,2025-07-03 18:00:00,,user32,user302,Medium,Low,Medium,Database,MySQL,Open,,,Issue 67 - Network related,"Detailed description of incident 67, auto-generated for testing.",2025-07-05 08:00:00
INC000068,2025-07-03 19:00:00,2025-07-05 17:00:00,user38,user276,Medium,Medium,High,Software,OS,Closed,Solved via On-Site,user572,Issue 68 - Security related,"Detailed description of incident 68, auto-generated for testing.",2025-07-07 21:00:00
INC000069,2025-07-03 20:00:00,,user138,user269,Critical,Low,Medium,Software,Email,Open,,,Issue 69 - Security related,"Detailed description of incident 69, auto-generated for testing.",2025-07-05 22:00:00
INC000070,2025-07-03 21:00:00,2025-07-05 08:00:00,user117,user278,High,Low,Medium,Security,Phishing,Closed,Solved Remotely,user556,Issue 70 - Database related,"Detailed description of incident 70, auto-generated for testing.",2025-07-06 18:00:00
INC000071,2025-07-03 22:00:00,2025-07-04 20:00:00,user129,user318,Medium,High,Low,Software,OS,Resolved,Solved via On-Site,user442,Issue 71 - Database related,"Detailed description of incident 71, auto-generated for testing.",2025-07-06 08:00:00
INC000072,2025-07-03 23:00:00,,user132,user399,High,Medium,Low,Hardware,Printer,Open,,,Issue 72 - Security related,"Detailed description of incident 72, auto-generated for testing.",2025-07-07 09:00:00
INC000073,2025-07-04 00:00:00,,user170,user328,Medium,High,Medium,Network,WAN,Open,,,Issue 73 - Software related,"Detailed description of incident 73, auto-generated for testing.",2025-07-07 19:00:00
INC000074,2025-07-04 01:00:00,2025-07-06 13:00:00,user66,user247,High,High,High,Security,Phishing,Closed,Not Reproducible,user470,Issue 74 - Software related,"Detailed description of incident 74, auto-generated for testing.",2025-07-06 12:00:00
INC000075,2025-07-04 02:00:00,2025-07-07 02:00:00,user138,user283,Medium,Low,Medium,Network,LAN,Resolved,Solved via On-Site,user576,Issue 75 - Network related,"Detailed description of incident 75, auto-generated for testing.",2025-07-08 03:00:00
INC000076,2025-07-04 03:00:00,2025-07-05 21:00:00,user189,user203,High,Low,High,Software,Application,Resolved,Solved Remotely,user459,Issue 76 - Database related,"Detailed description of incident 76, auto-generated for testing.",2025-07-05 17:00:00
INC000077,2025-07-04 04:00:00,2025-07-04 09:00:00,user99,user337,Low,Low,Medium,Database,SQL Server,Resolved,Workaround Provided,user503,Issue 77 - Network related,"Detailed description of incident 77, auto-generated for testing.",2025-07-07 07:00:00
INC000078,2025-07-04 05:00:00,,user160,user273,Critical,High,Low,Security,Malware,Open,,,Issue 78 - Security related,"Detailed description of incident 78, auto-generated for testing.",2025-07-07 21:00:00
INC000079,2025-07-04 06:00:00,,user146,user373,Medium,Medium,Low,Software,Application,In Progress,,,Issue 79 - Security related,"Detailed description of incident 79, auto-generated for testing.",2025-07-05 02:00:00
INC000080,2025-07-04 07:00:00,,user149,user248,Critical,Medium,High,Hardware,Laptop,Open,,,Issue 80 - Software related,"Detailed description of incident 80, auto-generated for testing.",2025-07-07 09:00:00
INC000081,2025-07-04 08:00:00,2025-07-05 19:00:00,user109,user262,Medium,High,Medium,Security,Phishing,Closed,Solved Remotely,user455,Issue 81 - Hardware related,"Detailed description of incident 81, auto-generated for testing.",2025-07-05 22:00:00
INC000082,2025-07-04 09:00:00,2025-07-06 02:00:00,user151,user391,Low,Medium,High,Security,Access,Resolved,Solved via On-Site,user568,Issue 82 - Security related,"Detailed description of incident 82, auto-generated for testing.",2025-07-05 20:00:00
INC000083,2025-07-04 10:00:00,,user136,user237,Low,High,Low,Database,Oracle,In Progress,,,Issue 83 - Hardware related,"Detailed description of incident 83, auto-generated for testing.",2025-07-07 16:00:00
INC000084,2025-07-04 11:00:00,,user132,user265,Critical,Medium,Medium,Security,Malware,Open,,,Issue 84 - Security related,"Detailed description of incident 84, auto-generated for testing.",2025-07-07 18:00:00
INC000085,2025-07-04 12:00:00,,user199,user245,Medium,High,Low,Database,SQL Server,In Progress,,,Issue 85 - Software related,"Detailed description of incident 85, auto-generated for testing.",2025-07-05 13:00:00
INC000086,2025-07-04 13:00:00,,user40,user255,High,Medium,Low,Software,Application,In Progress,,,Issue 86 - Database related,"Detailed description of incident 86, auto-generated for testing.",2025-07-04 23:00:00
INC000087,2025-07-04 14:00:00,2025-07-07 06:00:00,user196,user278,Medium,Low,Medium,Hardware,Printer,Resolved,Not Reproducible,user565,Issue 87 - Database related,"Detailed description of incident 87, auto-generated for testing.",2025-07-05 16:00:00
INC000088,2025-07-04 15:00:00,2025-07-07 02:00:00,user177,user332,High,Low,High,Hardware,Desktop,Resolved,Solved via On-Site,user468,Issue 88 - Hardware related,"Detailed description of incident 88, auto-generated for testing.",2025-07-06 21:00:00
INC000089,2025-07-04 16:00:00,2025-07-05 10:00:00,user154,user202,Critical,Low,Medium,Security,Malware,Closed,Solved via On-Site,user591,Issue 89 - Security related,"Detailed description of incident 89, auto-generated for testing.",2025-07-07 07:00:00
INC000090,2025-07-04 17:00:00,,user16,user397,Critical,Low,Low,Security,Access,In Progress,,,Issue 90 - Database related,"Detailed description of incident 90, auto-generated for testing.",2025-07-06 14:00:00
INC000091,2025-07-04 18:00:00,,user79,user209,Low,High,Low,Software,Email,Open,,,Issue 91 - Database related,"Detailed description of incident 91, auto-generated for testing.",2025-07-08 04:00:00
INC000092,2025-07-04 19:00:00,2025-07-07 19:00:00,user81,user271,High,Medium,Low,Database,MySQL,Resolved,Workaround Provided,user592,Issue 92 - Software related,"Detailed description of incident 92, auto-generated for testing.",2025-07-07 11:00:00
INC000093,2025-07-04 20:00:00,2025-07-07 03:00:00,user124,user221,Medium,High,Low,Hardware,Printer,Resolved,Not Reproducible,user493,Issue 93 - Security related,"Detailed description of incident 93, auto-generated for testing.",2025-07-05 17:00:00
INC000094,2025-07-04 21:00:00,,user149,user317,Low,Low,High,Database,MySQL,In Progress,,,Issue 94 - Database related,"Detailed description of incident 94, auto-generated for testing.",2025-07-08 19:00:00
INC000095,2025-07-04 22:00:00,2025-07-06 03:00:00,user180,user382,Critical,Medium,Medium,Software,OS,Resolved,Solved via On-Site,user531,Issue 95 - Hardware related,"Detailed description of incident 95, auto-generated for testing.",2025-07-08 23:00:00
INC000096,2025-07-04 23:00:00,,user35,user233,Low,High,Medium,Hardware,Laptop,In Progress,,,Issue 96 - Network related,"Detailed description of incident 96, auto-generated for testing.",2025-07-07 03:00:00
INC000097,2025-07-05 00:00:00,,user123,user279,Medium,Low,High,Hardware,Printer,In Progress,,,Issue 97 - Database related,"Detailed description of incident 97, auto-generated for testing.",2025-07-07 05:00:00
INC000098,2025-07-05 01:00:00,,user27,user229,Medium,Medium,High,Network,LAN,In Progress,,,Issue 98 - Hardware related,"Detailed description of incident 98, auto-generated for testing.",2025-07-07 18:00:00
INC000099,2025-07-05 02:00:00,,user71,user385,Critical,Medium,Low,Software,OS,Open,,,Issue 99 - Hardware related,"Detailed description of incident 99, auto-generated for testing.",2025-07-06 12:00:00
INC000100,2025-07-05 03:00:00,,user116,user285,Low,Low,Medium,Software,OS,Open,,,Issue 100 - Hardware related,"Detailed description of incident 100, auto-generated for testing.",2025-07-08 22:00:00
INC000101,2025-07-05 04:00:00,,user175,user288,High,Low,Medium,Network,WAN,Open,,,Issue 101 - Database related,"Detailed description of incident 101, auto-generated for testing.",2025-07-08 10:00:00
INC000102,2025-07-05 05:00:00,2025-07-07 21:00:00,user36,user264,High,Medium,Medium,Database,SQL Server,Resolved,Solved Remotely,user594,Issue 102 - Hardware related,"Detailed description of incident 102, auto-generated for testing.",2025-07-05 06:00:00
INC000103,2025-07-05 06:00:00,,user65,user302,High,Low,High,Network,VPN,In Progress,,,Issue 103 - Database related,"Detailed description of incident 103, auto-generated for testing.",2025-07-08 22:00:00
INC000104,2025-07-05 07:00:00,,user97,user354,Medium,High,Low,Software,Application,In Progress,,,Issue 104 - Software related,"Detailed description of incident 104, auto-generated for testing.",2025-07-07 02:00:00
INC000105,2025-07-05 08:00:00,2025-07-05 15:00:00,user60,user228,Low,Low,Low,Database,SQL Server,Closed,Solved Remotely,user440,Issue 105 - Database related,"Detailed description of incident 105, auto-generated for testing.",2025-07-06 14:00:00
INC000106,2025-07-05 09:00:00,,user10,user284,High,Low,Medium,Hardware,Printer,Open,,,Issue 106 - Database related,"Detailed description of incident 106, auto-generated for testing.",2025-07-07 13:00:00
INC000107,2025-07-05 10:00:00,,user23,user337,Low,Low,Low,Network,WAN,In Progress,,,Issue 107 - Database related,"Detailed description of incident 107, auto-generated for testing.",2025-07-08 22:00:00
INC000108,2025-07-05 11:00:00,2025-07-06 08:00:00,user187,user287,Critical,Medium,High,Database,SQL Server,Resolved,Not Reproducible,user553,Issue 108 - Hardware related,"Detailed description of incident 108, auto-generated for testing.",2025-07-07 18:00:00
INC000109,2025-07-05 12:00:00,,user154,user281,High,Medium,High,Database,MySQL,Open,,,Issue 109 - Hardware related,"Detailed description of incident 109, auto-generated for testing.",2025-07-07 21:00:00
INC000110,2025-07-05 13:00:00,,user139,user318,Low,Low,Medium,Database,Oracle,Open,,,Issue 110 - Network related,"Detailed description of incident 110, auto-generated for testing.",2025-07-09 00:00:00
INC000111,2025-07-05 14:00:00,,user192,user273,Medium,Medium,Low,Network,WAN,Open,,,Issue 111 - Security related,"Detailed description of incident 111, auto-generated for testing.",2025-07-08 07:00:00
INC000112,2025-07-05 15:00:00,,user98,user350,Critical,Low,High,Hardware,Desktop,Open,,,Issue 112 - Security related,"Detailed description of incident 112, auto-generated for testing.",2025-07-06 18:00:00
INC000113,2025-07-05 16:00:00,2025-07-06 01:00:00,user182,user208,Critical,High,High,Database,SQL Server,Closed,Not Reproducible,user498,Issue 113 - Software related,"Detailed description of incident 113, auto-generated for testing.",2025-07-09 18:00:00
INC000114,2025-07-05 17:00:00,2025-07-08 05:00:00,user65,user299,Critical,Medium,High,Network,WAN,Closed,Workaround Provided,user542,Issue 114 - Security related,"Detailed description of incident 114, auto-generated for testing.",2025-07-06 17:00:00
INC000115,2025-07-05 18:00:00,2025-07-05 20:00:00,user45,user245,Critical,Low,High,Software,OS,Resolved,Solved Remotely,user575,Issue 115 - Network related,"Detailed description of incident 115, auto-generated for testing.",2025-07-05 23:00:00
INC000116,2025-07-05 19:00:00,2025-07-08 16:00:00,user69,user328,Medium,Medium,Low,Network,WAN,Closed,Workaround Provided,user597,Issue 116 - Database related,"Detailed description of incident 116, auto-generated for testing.",2025-07-06 20:00:00
INC000117,2025-07-05 20:00:00,2025-07-07 16:00:00,user34,user345,Medium,High,High,Network,WAN,Closed,Solved Remotely,user476,Issue 117 - Security related,"Detailed description of incident 117, auto-generated for testing.",2025-07-06 06:00:00
INC000118,2025-07-05 21:00:00,,user53,user297,High,High,High,Network,LAN,Open,,,Issue 118 - Hardware related,"Detailed description of incident 118, auto-generated for testing.",2025-07-08 00:00:00
INC000119,2025-07-05 22:00:00,2025-07-08 06:00:00,user143,user204,Medium,Low,Low,Database,Oracle,Closed,Solved via On-Site,user517,Issue 119 - Database related,"Detailed description of incident 119, auto-generated for testing.",2025-07-06 14:00:00
INC000120,2025-07-05 23:00:00,,user167,user242,Medium,Medium,Medium,Network,VPN,In Progress,,,Issue 120 - Database related,"Detailed description of incident 120, auto-generated for testing.",2025-07-09 19:00:00
INC000121,2025-07-06 00:00:00,2025-07-06 01:00:00,user58,user272,Critical,High,Medium,Software,Email,Closed,Workaround Provided,user529,Issue 121 - Security related,"Detailed description of incident 121, auto-generated for testing.",2025-07-09 20:00:00
INC000122,2025-07-06 01:00:00,2025-07-07 00:00:00,user152,user243,Medium,Medium,High,Database,SQL Server,Closed,Solved Remotely,user561,Issue 122 - Hardware related,"Detailed description of incident 122, auto-generated for testing.",2025-07-10 05:00:00
INC000123,2025-07-06 02:00:00,,user116,user295,Critical,Low,Medium,Software,Email,In Progress,,,Issue 123 - Network related,"Detailed description of incident 123, auto-generated for testing.",2025-07-07 05:00:00
INC000124,2025-07-06 03:00:00,,user42,user316,Low,High,Low,Security,Phishing,Open,,,Issue 124 - Network related,"Detailed description of incident 124, auto-generated for testing.",2025-07-06 17:00:00
INC000125,2025-07-06 04:00:00,,user134,user216,Low,High,High,Network,VPN,Open,,,Issue 125 - Software related,"Detailed description of incident 125, auto-generated for testing.",2025-07-08 18:00:00
INC000126,2025-07-06 05:00:00,,user61,user262,Low,Medium,Low,Database,SQL Server,In Progress,,,Issue 126 - Hardware related,"Detailed description of incident 126, auto-generated for testing.",2025-07-08 15:00:00
INC000127,2025-07-06 06:00:00,2025-07-07 21:00:00,user61,user396,Low,High,Medium,Database,Oracle,Closed,Solved via On-Site,user440,Issue 127 - Hardware related,"Detailed description of incident 127, auto-generated for testing.",2025-07-09 11:00:00
INC000128,2025-07-06 07:00:00,2025-07-08 07:00:00,user146,user255,Low,Low,Medium,Network,LAN,Closed,Solved via On-Site,user539,Issue 128 - Software related,"Detailed description of incident 128, auto-generated for testing.",2025-07-06 09:00:00
INC000129,2025-07-06 08:00:00,,user27,user257,Low,Low,High,Hardware,Printer,Open,,,Issue 129 - Software related,"Detailed description of incident 129, auto-generated for testing.",2025-07-08 04:00:00
INC000130,2025-07-06 09:00:00,,user39,user369,Low,High,Medium,Hardware,Desktop,In Progress,,,Issue 130 - Network related,"Detailed description of incident 130, auto-generated for testing.",2025-07-07 17:00:00
INC000131,2025-07-06 10:00:00,,user29,user237,Critical,Low,High,Software,OS,In Progress,,,Issue 131 - Software related,"Detailed description of incident 131, auto-generated for testing.",2025-07-08 01:00:00
INC000132,2025-07-06 11:00:00,,user166,user359,Critical,High,High,Network,VPN,Open,,,Issue 132 - Database related,"Detailed description of incident 132, auto-generated for testing.",2025-07-06 17:00:00
INC000133,2025-07-06 12:00:00,,user169,user287,Critical,High,Low,Network,WAN,Open,,,Issue 133 - Software related,"Detailed description of incident 133, auto-generated for testing.",2025-07-07 15:00:00
INC000134,2025-07-06 13:00:00,,user141,user373,Critical,High,Medium,Security,Phishing,In Progress,,,Issue 134 - Database related,"Detailed description of incident 134, auto-generated for testing.",2025-07-09 12:00:00
